timestamp,cash,inventory_value,total_pnl,pos_EMERALDS,mid_EMERALDS,pos_TOMATOES,mid_TOMATOES
0,0.0,0.0,0.0,,,,
100,0.0,0.0,0.0,,,,
200,0.0,0.0,0.0,,,,
300,0.0,0.0,0.0,,,,
400,0.0,0.0,0.0,,,,
500,0.0,0.0,0.0,,,,
600,0.0,0.0,0.0,,,,
700,0.0,0.0,0.0,,,,
800,0.0,0.0,0.0,,,,
900,0.0,0.0,0.0,,,,
1000,0.0,0.0,0.0,,,,
1100,0.0,0.0,0.0,,,,
1200,0.0,0.0,0.0,,,,
1300,0.0,0.0,0.0,,,,
1400,0.0,0.0,0.0,,,,
1500,0.0,0.0,0.0,,,,
1600,0.0,0.0,0.0,,,,
1700,0.0,0.0,0.0,,,,
1800,0.0,0.0,0.0,,,,
1900,0.0,0.0,0.0,,,,
2000,0.0,0.0,0.0,,,,
2100,0.0,0.0,0.0,,,,
2200,0.0,0.0,0.0,,,,
2300,0.0,0.0,0.0,,,,
2400,0.0,0.0,0.0,,,,
2500,0.0,0.0,0.0,,,,
2600,0.0,0.0,0.0,,,,
2700,0.0,0.0,0.0,,,,
2800,0.0,0.0,0.0,,,,
2900,0.0,0.0,0.0,,,,
3000,0.0,0.0,0.0,,,,
3100,0.0,0.0,0.0,,,,
3200,-79944.0,80000.0,56.0,8.0,10000.0,,
3300,-79944.0,80000.0,56.0,8.0,10000.0,,
3400,-69928.0,69995.0,67.0,8.0,10000.0,-2.0,5002.5
3500,-69928.0,69997.0,69.0,8.0,10000.0,-2.0,5001.5
3600,-69928.0,69997.0,69.0,8.0,10000.0,-2.0,5001.5
3700,-69928.0,69997.0,69.0,8.0,10000.0,-2.0,5001.5
3800,-69928.0,69998.0,70.0,8.0,10000.0,-2.0,5001.0
3900,-69928.0,69996.0,68.0,8.0,10000.0,-2.0,5002.0
4000,-69928.0,69995.0,67.0,8.0,10000.0,-2.0,5002.5
4100,-69928.0,69995.0,67.0,8.0,10000.0,-2.0,5002.5
4200,-69928.0,70027.0,99.0,8.0,10004.0,-2.0,5002.5
4300,-69928.0,70003.0,75.0,8.0,10000.0,-2.0,4998.5
4400,-69928.0,69997.0,69.0,8.0,10000.0,-2.0,5001.5
4500,-69928.0,69996.0,68.0,8.0,10000.0,-2.0,5002.0
4600,-69928.0,69996.0,68.0,8.0,10000.0,-2.0,5002.0
4700,-69928.0,69996.0,68.0,8.0,10000.0,-2.0,5002.0
4800,-69928.0,69996.0,68.0,8.0,10000.0,-2.0,5002.0
4900,-69928.0,69996.0,68.0,8.0,10000.0,-2.0,5002.0
5000,-139879.0,139935.0,56.0,15.0,9996.0,-2.0,5002.5
5100,-139879.0,139995.0,116.0,15.0,10000.0,-2.0,5002.5
5200,-139879.0,139995.0,116.0,15.0,10000.0,-2.0,5002.5
5300,-139879.0,139995.0,116.0,15.0,10000.0,-2.0,5002.5
5400,-139879.0,139995.0,116.0,15.0,10000.0,-2.0,5002.5
5500,-139879.0,139995.0,116.0,15.0,10000.0,-2.0,5002.5
5600,-139879.0,139995.0,116.0,15.0,10000.0,-2.0,5002.5
5700,-139879.0,139988.0,109.0,15.0,10000.0,-2.0,5006.0
5800,-139879.0,139997.0,118.0,15.0,10000.0,-2.0,5001.5
5900,-139879.0,139997.0,118.0,15.0,10000.0,-2.0,5001.5
6000,-139879.0,139996.0,117.0,15.0,10000.0,-2.0,5002.0
6100,-139879.0,139996.0,117.0,15.0,10000.0,-2.0,5002.0
6200,-139879.0,139995.0,116.0,15.0,10000.0,-2.0,5002.5
6300,-139879.0,139996.0,117.0,15.0,10000.0,-2.0,5002.0
6400,-139879.0,139996.0,117.0,15.0,10000.0,-2.0,5002.0
6500,-139879.0,139996.0,117.0,15.0,10000.0,-2.0,5002.0
6600,-139879.0,139995.0,116.0,15.0,10000.0,-2.0,5002.5
6700,-139879.0,139995.0,116.0,15.0,10000.0,-2.0,5002.5
6800,-139879.0,139993.0,114.0,15.0,10000.0,-2.0,5003.5
6900,-139879.0,139994.0,115.0,15.0,10000.0,-2.0,5003.0
